Ref,Val,Package,PosX,PosY,Rot,Side
"P101","ZX80-B-5S","Hirose_ZX80-B-5S_Slot",10.750000,3.580000,0.000000,top
"R101","0R","R_0402_1005Metric",10.600000,1.500000,0.000000,top
